unix,date,symbol,open,high,low,close,vwap,Volume LINK,Volume USD,tradecount
1609228800,2020-12-29 08:00:00,LINK/USD,11.95642,12.12662,11.95642,12.12127,12.03077,25907.40715199,314030.6770892018,308
1609225200,2020-12-29 07:00:00,LINK/USD,12.01820,12.09121,11.84203,11.95627,11.97055,18919.31343277,226204.41961682495,258
1609221600,2020-12-29 06:00:00,LINK/USD,12.00000,12.10000,11.97095,12.05356,12.05741,28322.69826253,341389.3428693011,241
1609218000,2020-12-29 05:00:00,LINK/USD,12.00801,12.06062,11.71031,12.04386,11.88479,47355.16554885,570338.9841471725,453
1609214400,2020-12-29 04:00:00,LINK/USD,12.05000,12.12901,11.74580,12.00552,11.97830,49189.10603654,590540.7963038017,618
1609210800,2020-12-29 03:00:00,LINK/USD,12.41037,12.41037,12.08126,12.08126,12.21284,24970.15737168,301670.96344818274,263
1609207200,2020-12-29 02:00:00,LINK/USD,12.28594,12.44872,12.27326,12.44500,12.37630,5089.05018031,63333.229493957944,188
1609203600,2020-12-29 01:00:00,LINK/USD,12.47088,12.47088,12.06010,12.28911,12.28441,48233.18905934,592742.9660010259,613
1609200000,2020-12-29 00:00:00,LINK/USD,12.60000,12.98936,12.46800,12.50000,12.73524,55543.23484645,694290.4355806251,493
1609196400,2020-12-28 23:00:00,LINK/USD,12.54509,12.67700,12.48228,12.60000,12.58587,14786.94647078,186315.525531828,263
1609192800,2020-12-28 22:00:00,LINK/USD,12.60000,12.91115,12.35072,12.54182,12.60890,74902.95855998,939419.4237267284,807
1609189200,2020-12-28 21:00:00,LINK/USD,12.48420,12.72087,12.48420,12.60000,12.63691,27988.00070501,352648.808883126,272
1609185600,2020-12-28 20:00:00,LINK/USD,12.59762,12.76575,12.33902,12.44943,12.47908,54187.81434291,674607.401515054,475
1609182000,2020-12-28 19:00:00,LINK/USD,12.52876,12.65710,12.52876,12.58032,12.61102,19857.37226472,249812.09744930232,268
1609178400,2020-12-28 18:00:00,LINK/USD,12.61013,12.71624,12.50000,12.54162,12.61350,28471.55729924,357079.4524552944,367
1609174800,2020-12-28 17:00:00,LINK/USD,12.43844,12.74923,12.40928,12.61442,12.65082,63784.34256524,804602.4865418148,672
1609171200,2020-12-28 16:00:00,LINK/USD,12.27537,12.53586,12.25022,12.44154,12.42440,24563.41299376,305606.6852983848,416
1609167600,2020-12-28 15:00:00,LINK/USD,12.44440,12.51367,12.21777,12.28869,12.33430,18207.88651068,223751.07288492823,231
1609164000,2020-12-28 14:00:00,LINK/USD,12.33505,12.53237,12.31903,12.43565,12.37127,53523.71767511,665602.2197064817,560
1609160400,2020-12-28 13:00:00,LINK/USD,12.26000,12.41356,12.14678,12.38915,12.30307,15968.86825613,197840.704155433,274
1609156800,2020-12-28 12:00:00,LINK/USD,12.43470,12.45512,12.25199,12.26500,12.34014,12427.35633469,152421.52544497285,218
1609153200,2020-12-28 11:00:00,LINK/USD,12.35704,12.47274,12.29094,12.43471,12.39261,8469.44342584,105315.0728617269,231
1609149600,2020-12-28 10:00:00,LINK/USD,12.47379,12.54793,12.17906,12.35643,12.35714,12785.41598678,157982.097661528,203
