unix,date,symbol,open,high,low,close,vwap,Volume XMR,Volume USD,tradecount
1602720000,2020-10-15 00:00:00,XMR/USD,128.42,132.56,123.82,130.34,128.79,4605.64669126,600299.9897388284,983
1602633600,2020-10-14 00:00:00,XMR/USD,128.62,133.82,125.60,128.54,129.53,5807.87837597,746544.6864471837,1239
1602547200,2020-10-13 00:00:00,XMR/USD,128.90,131.50,123.00,128.10,126.09,9146.79079738,1171703.901144378,1386
1602460800,2020-10-12 00:00:00,XMR/USD,125.76,135.09,125.19,129.05,131.53,15944.26296735,2057607.1359365177,2254
1602374400,2020-10-11 00:00:00,XMR/USD,115.98,126.00,115.44,125.96,122.23,7605.34755213,957969.5776662948,1270
1602288000,2020-10-10 00:00:00,XMR/USD,116.37,119.00,115.13,115.78,117.33,4813.26840128,557280.2155001984,753
1602201600,2020-10-09 00:00:00,XMR/USD,111.42,117.98,108.53,115.92,114.84,9308.92397486,1079090.4671657712,1268
1602115200,2020-10-08 00:00:00,XMR/USD,109.98,112.78,107.42,111.37,110.80,8840.60406829,984578.0750854574,1212
1602028800,2020-10-07 00:00:00,XMR/USD,106.53,112.87,102.24,110.13,108.68,5602.26212595,616977.1279308735,1199
1601942400,2020-10-06 00:00:00,XMR/USD,112.98,113.99,105.23,106.77,109.95,5761.09610216,615112.2308276232,1189
1601856000,2020-10-05 00:00:00,XMR/USD,105.56,114.67,104.42,112.61,110.59,7153.42053002,805546.6858855522,1033
1601769600,2020-10-04 00:00:00,XMR/USD,103.62,109.25,101.54,105.42,106.24,5327.27952766,561601.8078059172,883
1601683200,2020-10-03 00:00:00,XMR/USD,101.79,104.10,100.89,103.68,102.51,2639.39861219,273652.84811185923,609
1601596800,2020-10-02 00:00:00,XMR/USD,103.61,105.10,94.01,101.66,99.62,5293.65751649,538153.2231263734,1489
1601510400,2020-10-01 00:00:00,XMR/USD,108.64,113.24,101.58,103.72,108.09,12714.23251173,1318720.1961166356,2277
1601424000,2020-09-30 00:00:00,XMR/USD,100.54,110.28,97.77,108.49,104.26,10173.37668899,1103709.636988525,2012
1601337600,2020-09-29 00:00:00,XMR/USD,92.87,92.87,92.87,92.87,0.00,0.00000000,0.0,0
1601251200,2020-09-28 00:00:00,XMR/USD,92.87,92.87,92.87,92.87,0.00,0.00000000,0.0,0
1601164800,2020-09-27 00:00:00,XMR/USD,92.87,92.87,92.87,92.87,0.00,0.00000000,0.0,0
1601078400,2020-09-26 00:00:00,XMR/USD,92.87,92.87,92.87,92.87,0.00,0.00000000,0.0,0
1600992000,2020-09-25 00:00:00,XMR/USD,92.20,94.11,90.43,92.87,92.42,3650.60956016,339032.1098520592,759
