unix,date,symbol,open,high,low,close,vwap,Volume LINK,Volume USD,tradecount
1607904000,2020-12-14 00:00:00,LINK/USD,12.92841,12.98000,12.33000,12.84000,12.72273,277528.47400524,3563465.606227282,4171
1607817600,2020-12-13 00:00:00,LINK/USD,12.23069,13.25000,12.03232,12.93195,12.57617,405042.37403248,5237987.72886933,3056
1607731200,2020-12-12 00:00:00,LINK/USD,11.64974,12.36871,11.62000,12.20788,12.03644,353406.93645443,4314349.471403306,2253
1607644800,2020-12-11 00:00:00,LINK/USD,11.94575,11.94575,11.42824,11.65033,11.66157,480622.12622874,5599406.375866476,3346
1607558400,2020-12-10 00:00:00,LINK/USD,12.63089,12.65584,11.85568,11.89469,12.16053,444257.50107292,5284305.255437051,3099
1607472000,2020-12-09 00:00:00,LINK/USD,12.11574,12.83659,11.55364,12.61607,12.11106,528675.30206044,6669804.618065655,4693
1607385600,2020-12-08 00:00:00,LINK/USD,13.08391,13.19097,12.00000,12.12298,12.62016,492120.32483688,5965964.855591,4909
1607299200,2020-12-07 00:00:00,LINK/USD,13.52374,13.54653,12.88319,13.08883,13.13269,268746.60310191,3517578.6010783724,2587
1607212800,2020-12-06 00:00:00,LINK/USD,13.16282,13.53817,12.77130,13.51533,13.20818,271081.54670314,3663756.5606033495,3208
1607126400,2020-12-05 00:00:00,LINK/USD,12.67063,13.35020,12.53482,13.16391,13.06798,214274.03759300,2820684.1462108684,2977
1607040000,2020-12-04 00:00:00,LINK/USD,13.98659,14.05377,12.53000,12.68286,13.36366,595170.09722747,7548459.019322391,5698
1606953600,2020-12-03 00:00:00,LINK/USD,13.97718,14.25000,13.67139,13.99711,13.96501,382082.64142817,5348052.761160653,3720
1606867200,2020-12-02 00:00:00,LINK/USD,13.36157,14.14000,13.08281,13.97676,13.58704,496151.05498105,6934584.219216941,6300
1606780800,2020-12-01 00:00:00,LINK/USD,14.25795,14.84994,12.90502,13.35864,13.89631,825662.77296887,11029731.745492864,7763
1606694400,2020-11-30 00:00:00,LINK/USD,13.38595,14.43285,13.38595,14.26000,14.02582,795590.98018475,11345127.377434535,8535
1606608000,2020-11-29 00:00:00,LINK/USD,13.09025,13.46300,12.85484,13.38595,13.12485,343265.78595783,4594938.647542215,4335
1606521600,2020-11-28 00:00:00,LINK/USD,12.50219,13.46638,12.35603,13.09465,12.95198,533849.28023247,6990569.477396114,5885
1606435200,2020-11-27 00:00:00,LINK/USD,12.60838,12.95805,11.97525,12.49374,12.33608,416533.21206650,5204057.652923713,5636
1606348800,2020-11-26 00:00:00,LINK/USD,14.20342,14.47098,11.27615,12.58625,12.44933,1987154.47724951,25010823.039281644,19978
