unix,date,symbol,open,high,low,close,vwap,Volume ETH,Volume USD,tradecount
1609318800,2020-12-30 09:00:00,ETH/USD,727.39,727.56,716.23,725.46,722.80,4392.76591699,3186775.9621395655,1167
1609315200,2020-12-30 08:00:00,ETH/USD,733.06,737.29,726.39,727.55,731.55,5787.02510049,4210350.111861499,1369
1609311600,2020-12-30 07:00:00,ETH/USD,736.72,743.00,733.29,733.35,738.85,4210.91526276,3088074.707945046,1060
1609308000,2020-12-30 06:00:00,ETH/USD,731.01,739.55,728.67,736.73,734.17,5050.79294742,3721070.6881527365,967
1609304400,2020-12-30 05:00:00,ETH/USD,729.69,732.80,728.40,731.01,730.60,1773.46621955,1296421.5411532454,614
1609300800,2020-12-30 04:00:00,ETH/USD,733.14,736.23,725.11,729.79,730.49,5622.49649584,4103241.7176990733,1271
1609297200,2020-12-30 03:00:00,ETH/USD,739.95,742.00,729.83,733.01,733.96,9350.04297277,6853674.999470137,1436
1609293600,2020-12-30 02:00:00,ETH/USD,737.00,741.26,733.39,739.93,737.78,6109.85336903,4520863.803346368,1148
1609290000,2020-12-30 01:00:00,ETH/USD,741.26,743.51,733.72,737.29,738.09,4133.95250185,3047921.8400889863,1090
1609286400,2020-12-30 00:00:00,ETH/USD,731.84,746.72,731.69,741.27,739.79,12212.15407842,9052503.453710394,2611
1609282800,2020-12-29 23:00:00,ETH/USD,729.15,736.62,724.99,731.84,732.77,4436.70046780,3246954.8703547525,1496
1609279200,2020-12-29 22:00:00,ETH/USD,724.42,729.63,723.29,728.97,725.91,1560.39363526,1137480.1482954824,819
1609275600,2020-12-29 21:00:00,ETH/USD,728.60,731.05,721.33,724.42,728.28,3997.47100033,2895847.9420590587,1198
1609272000,2020-12-29 20:00:00,ETH/USD,729.85,731.04,721.14,727.91,725.93,9939.35987303,7234959.445177267,1675
1609268400,2020-12-29 19:00:00,ETH/USD,721.51,731.06,720.48,729.85,727.23,2660.33976436,1941648.977018146,1118
1609264800,2020-12-29 18:00:00,ETH/USD,719.99,724.95,719.64,721.48,721.50,3121.41938359,2252041.6568725132,1147
1609261200,2020-12-29 17:00:00,ETH/USD,714.46,720.00,708.79,719.95,713.85,5862.13060103,4220440.926211549,1387
1609257600,2020-12-29 16:00:00,ETH/USD,718.35,718.45,703.54,714.37,710.93,15793.07019531,11282095.555423604,2389
1609254000,2020-12-29 15:00:00,ETH/USD,720.99,725.09,713.89,718.43,718.07,4266.15391019,3064932.9536978016,1402
1609250400,2020-12-29 14:00:00,ETH/USD,729.13,729.98,718.91,721.08,725.29,2375.62459417,1713015.3823641036,1010
1609246800,2020-12-29 13:00:00,ETH/USD,728.00,733.31,724.66,729.12,729.12,2143.40184822,1562797.1555741664,889
1609243200,2020-12-29 12:00:00,ETH/USD,730.22,738.43,726.21,728.00,733.01,4752.70314445,3459967.8891596,1354
1609239600,2020-12-29 11:00:00,ETH/USD,728.29,732.50,719.36,730.81,726.24,4645.38042948,3394890.471668279,1437
1609236000,2020-12-29 10:00:00,ETH/USD,722.12,732.00,721.00,728.48,728.95,3969.71697295,2891859.420454616,1359
