unix,date,symbol,open,high,low,close,vwap,Volume EOS,Volume USD,tradecount
1609261200,2020-12-29 17:00:00,EOS/USD,2.5710,2.6196,2.5494,2.6196,2.5903,21369.82008129,55980.38068494729,184
1609257600,2020-12-29 16:00:00,EOS/USD,2.5414,2.5799,2.5023,2.5760,2.5391,22151.37387281,57061.93909635856,145
1609254000,2020-12-29 15:00:00,EOS/USD,2.6012,2.6183,2.5438,2.5554,2.5665,24327.50773377,62166.51326287586,211
1609250400,2020-12-29 14:00:00,EOS/USD,2.6330,2.6345,2.6006,2.6038,2.6230,4921.68385709,12815.080427090943,101
1609246800,2020-12-29 13:00:00,EOS/USD,2.6436,2.6552,2.6328,2.6449,2.6467,9090.18326754,24042.625724316546,168
1609243200,2020-12-29 12:00:00,EOS/USD,2.6457,2.6821,2.6409,2.6409,2.6452,42880.62105751,113243.43215077814,123
1609239600,2020-12-29 11:00:00,EOS/USD,2.6880,2.6945,2.6162,2.6446,2.6455,33426.49317659,88399.70385480991,225
1609236000,2020-12-29 10:00:00,EOS/USD,2.6976,2.7115,2.6899,2.6899,2.7000,770.09049863,2071.466432264837,61
1609232400,2020-12-29 09:00:00,EOS/USD,2.6745,2.7148,2.6597,2.7015,2.6882,1153.39456814,3115.8954258302097,118
1609228800,2020-12-29 08:00:00,EOS/USD,2.6656,2.6829,2.6650,2.6829,2.6694,3433.32536388,9211.268618753653,77
1609225200,2020-12-29 07:00:00,EOS/USD,2.6509,2.6658,2.6418,2.6642,2.6543,11052.85010352,29447.003245797987,171
1609221600,2020-12-29 06:00:00,EOS/USD,2.6501,2.6630,2.6386,2.6548,2.6481,2496.53177890,6627.79256662372,103
1609218000,2020-12-29 05:00:00,EOS/USD,2.6544,2.6549,2.5800,2.6501,2.6184,18500.61347168,49028.475761299174,158
1609214400,2020-12-29 04:00:00,EOS/USD,2.6498,2.6706,2.6137,2.6532,2.6458,30542.33194203,81034.915108594,257
1609210800,2020-12-29 03:00:00,EOS/USD,2.7005,2.7005,2.6550,2.6605,2.6755,43850.87657625,116665.25713111312,145
1609207200,2020-12-29 02:00:00,EOS/USD,2.7209,2.7400,2.7107,2.7212,2.7304,4237.68828676,11531.597365931311,110
1609203600,2020-12-29 01:00:00,EOS/USD,2.7001,2.7255,2.6774,2.7206,2.7085,13848.76432685,37676.94822762811,142
1609200000,2020-12-29 00:00:00,EOS/USD,2.7562,2.7840,2.7047,2.7146,2.7407,12440.07115958,33769.81716979587,120
1609196400,2020-12-28 23:00:00,EOS/USD,2.7385,2.7756,2.7378,2.7601,2.7630,25474.85710434,70313.15309368883,196
1609192800,2020-12-28 22:00:00,EOS/USD,2.7862,2.8128,2.7200,2.7477,2.7513,15655.61609990,43016.93635769523,125
1609189200,2020-12-28 21:00:00,EOS/USD,2.7687,2.7982,2.7687,2.7910,2.7900,13080.94150253,36508.90773356123,78
1609185600,2020-12-28 20:00:00,EOS/USD,2.8213,2.8355,2.7327,2.7710,2.7593,45980.27830770,127411.35119063669,203
1609182000,2020-12-28 19:00:00,EOS/USD,2.8243,2.8377,2.8196,2.8241,2.8316,3702.60952555,10456.539561105756,91
1609178400,2020-12-28 18:00:00,EOS/USD,2.8474,2.8580,2.8174,2.8264,2.8319,27870.54694414,78773.3138829173,112
1609174800,2020-12-28 17:00:00,EOS/USD,2.8350,2.8505,2.8350,2.8481,2.8491,12919.11143721,36794.9212843178,96
1609171200,2020-12-28 16:00:00,EOS/USD,2.8196,2.8568,2.8148,2.8450,2.8313,7461.66518660,21228.437455877003,172
1609167600,2020-12-28 15:00:00,EOS/USD,2.8770,2.8770,2.8170,2.8205,2.8577,12990.61321539,36640.0245740075,91
1609164000,2020-12-28 14:00:00,EOS/USD,2.8414,2.8879,2.8385,2.8792,2.8713,8002.98843772,23042.204309883422,209
1609160400,2020-12-28 13:00:00,EOS/USD,2.8042,2.8449,2.8042,2.8410,2.8295,12420.87253210,35287.6988636961,115
1609156800,2020-12-28 12:00:00,EOS/USD,2.8455,2.8504,2.8077,2.8230,2.8325,2958.51960159,8351.90083528857,89
1609153200,2020-12-28 11:00:00,EOS/USD,2.8035,2.8658,2.8035,2.8475,2.8373,6923.98653882,19716.05166928995,159
1609149600,2020-12-28 10:00:00,EOS/USD,2.7871,2.8244,2.7684,2.8047,2.8120,7067.63163946,19822.586459193462,114
1609146000,2020-12-28 09:00:00,EOS/USD,2.8018,2.8042,2.7732,2.7888,2.7880,14250.65366433,39742.222939083505,128
1609142400,2020-12-28 08:00:00,EOS/USD,2.7718,2.8003,2.7400,2.8003,2.7652,9525.15442281,26673.289930194842,165
1609138800,2020-12-28 07:00:00,EOS/USD,2.7222,2.7858,2.7215,2.7762,2.7675,26938.58811693,74786.90833022106,158
1609135200,2020-12-28 06:00:00,EOS/USD,2.7147,2.7213,2.6988,2.7213,2.7132,3662.35118982,9966.356292857165,112
1609131600,2020-12-28 05:00:00,EOS/USD,2.7053,2.7248,2.7053,2.7171,2.7187,12205.44888992,33163.42517880163,100
1609128000,2020-12-28 04:00:00,EOS/USD,2.7138,2.7178,2.7070,2.7178,2.7134,1585.70652124,4309.633183426072,62
1609124400,2020-12-28 03:00:00,EOS/USD,2.7369,2.7435,2.7207,2.7261,2.7288,6530.55425937,17802.94396646856,97
1609120800,2020-12-28 02:00:00,EOS/USD,2.7312,2.7401,2.7185,2.7334,2.7299,728.21548748,1990.504213477832,80
1609117200,2020-12-28 01:00:00,EOS/USD,2.7529,2.7661,2.7308,2.7311,2.7609,5135.71957538,14026.163732320318,62
1609113600,2020-12-28 00:00:00,EOS/USD,2.7141,2.7762,2.6871,2.7539,2.7467,13071.30654517,35997.07109474366,139
1609110000,2020-12-27 23:00:00,EOS/USD,2.7250,2.7513,2.7090,2.7097,2.7321,3068.03807849,8313.462781284354,70
1609106400,2020-12-27 22:00:00,EOS/USD,2.7263,2.7358,2.7067,2.7237,2.7262,15918.40475970,43356.959043994895,105
1609102800,2020-12-27 21:00:00,EOS/USD,2.7325,2.7490,2.6776,2.7253,2.7204,32789.81764240,89362.09002083271,203
1609099200,2020-12-27 20:00:00,EOS/USD,2.7788,2.7788,2.7388,2.7537,2.7542,11632.44678987,32032.268725265018,108
1609095600,2020-12-27 19:00:00,EOS/USD,2.7858,2.7991,2.7711,2.7777,2.7830,4678.48144445,12995.417908248764,76
1609092000,2020-12-27 18:00:00,EOS/USD,2.7817,2.7938,2.7742,2.7851,2.7833,6550.72812684,18244.432906062084,91
1609088400,2020-12-27 17:00:00,EOS/USD,2.7890,2.7918,2.7612,2.7781,2.7769,35578.46034950,98840.52069694594,195
1609084800,2020-12-27 16:00:00,EOS/USD,2.8386,2.8510,2.7149,2.7937,2.8000,59355.99992091,165822.85697904625,328
1609081200,2020-12-27 15:00:00,EOS/USD,2.7061,2.8700,2.7061,2.8370,2.8137,54471.75395248,154536.3659631858,395
1609077600,2020-12-27 14:00:00,EOS/USD,2.6511,2.7384,2.6510,2.7006,2.7020,24353.33617105,65768.61966353763,202
1609074000,2020-12-27 13:00:00,EOS/USD,2.5542,2.6540,2.5500,2.6540,2.6024,4931.63688297,13088.564287402382,69
1609070400,2020-12-27 12:00:00,EOS/USD,2.5593,2.5593,2.4749,2.5538,2.5120,42947.71655043,109679.87852648813,180
1609066800,2020-12-27 11:00:00,EOS/USD,2.6207,2.6300,2.5022,2.5594,2.5572,47553.98360332,121709.6656343372,301
1609063200,2020-12-27 10:00:00,EOS/USD,2.6289,2.6325,2.6217,2.6217,2.6279,672.10582537,1762.0598423725291,19
1609059600,2020-12-27 09:00:00,EOS/USD,2.6144,2.6503,2.6142,2.6299,2.6303,10711.87466838,28171.159190372564,101
1609056000,2020-12-27 08:00:00,EOS/USD,2.6496,2.6591,2.6126,2.6126,2.6319,26753.19584302,69895.39945947405,137
1609052400,2020-12-27 07:00:00,EOS/USD,2.6553,2.6681,2.6481,2.6528,2.6570,716.81580955,1901.56897957424,25
1609048800,2020-12-27 06:00:00,EOS/USD,2.6432,2.6748,2.6432,2.6645,2.6581,18839.35990314,50197.47446191653,133
1609045200,2020-12-27 05:00:00,EOS/USD,2.6433,2.6533,2.6395,2.6444,2.6456,18107.49320406,47883.455028816265,80
1609041600,2020-12-27 04:00:00,EOS/USD,2.6422,2.6473,2.6399,2.6400,2.6420,5179.76670841,13674.584110202402,44
1609038000,2020-12-27 03:00:00,EOS/USD,2.6526,2.6557,2.6393,2.6394,2.6414,4778.21940079,12611.632286445127,41
1609034400,2020-12-27 02:00:00,EOS/USD,2.6190,2.6834,2.6190,2.6510,2.6614,16418.85562440,43526.386260284395,137
1609030800,2020-12-27 01:00:00,EOS/USD,2.6301,2.6461,2.6204,2.6210,2.6287,18940.13530089,49642.09462363269,129
1609027200,2020-12-27 00:00:00,EOS/USD,2.5981,2.6593,2.5817,2.6259,2.6380,35024.18263844,91970.0011902796,150
1609023600,2020-12-26 23:00:00,EOS/USD,2.5891,2.6084,2.5891,2.6067,2.6020,494.18790111,1288.199601823437,46
1609020000,2020-12-26 22:00:00,EOS/USD,2.6211,2.6291,2.5719,2.5938,2.6109,38737.00281555,100476.03790297358,173
1609016400,2020-12-26 21:00:00,EOS/USD,2.6313,2.6469,2.6124,2.6235,2.6354,20874.30964197,54763.7513457083,92
1609012800,2020-12-26 20:00:00,EOS/USD,2.6043,2.6382,2.6043,2.6339,2.6290,44183.09491558,116373.85369814617,108
1609009200,2020-12-26 19:00:00,EOS/USD,2.6263,2.6263,2.6148,2.6175,2.6176,3589.82732304,9396.3730180572,23
1609005600,2020-12-26 18:00:00,EOS/USD,2.6277,2.6414,2.6200,2.6200,2.6252,17356.68302425,45474.509523535,70
1609002000,2020-12-26 17:00:00,EOS/USD,2.6357,2.6357,2.6028,2.6219,2.6207,21764.68879641,57064.83755530738,119
1608998400,2020-12-26 16:00:00,EOS/USD,2.5700,2.6660,2.5534,2.6357,2.6055,59286.39781940,156261.15873259256,301
1608994800,2020-12-26 15:00:00,EOS/USD,2.5991,2.5991,2.5588,2.5734,2.5764,20992.99120518,54023.363567410204,76
1608991200,2020-12-26 14:00:00,EOS/USD,2.5777,2.6193,2.5777,2.5974,2.6092,11249.45544411,29219.335570531315,83
1608987600,2020-12-26 13:00:00,EOS/USD,2.6020,2.6020,2.5659,2.5836,2.5744,1179.71672077,3047.916119781372,37
1608984000,2020-12-26 12:00:00,EOS/USD,2.5859,2.6122,2.5807,2.6122,2.5935,4899.35396861,12798.092436803043,60
1608980400,2020-12-26 11:00:00,EOS/USD,2.5658,2.5905,2.5412,2.5905,2.5564,27013.81169135,69979.27918644217,102
1608976800,2020-12-26 10:00:00,EOS/USD,2.5796,2.5911,2.5182,2.5623,2.5403,50390.83426430,129116.43463541589,140
1608973200,2020-12-26 09:00:00,EOS/USD,2.6050,2.6050,2.5547,2.5812,2.5701,23966.61887077,61862.63662923152,119
1608969600,2020-12-26 08:00:00,EOS/USD,2.5988,2.6310,2.5988,2.6136,2.6156,1475.64724239,3856.7516327105036,49
1608966000,2020-12-26 07:00:00,EOS/USD,2.6251,2.6287,2.5776,2.5975,2.6006,23469.78101425,60962.75618451437,120
1608962400,2020-12-26 06:00:00,EOS/USD,2.6281,2.6357,2.6245,2.6329,2.6332,2066.67130704,5441.3388843056155,35
1608958800,2020-12-26 05:00:00,EOS/USD,2.6479,2.6500,2.6228,2.6328,2.6354,8771.73160502,23094.21496969666,67
1608955200,2020-12-26 04:00:00,EOS/USD,2.6714,2.6714,2.6439,2.6459,2.6586,904.09858452,2392.154444781468,32
1608951600,2020-12-26 03:00:00,EOS/USD,2.6462,2.6910,2.6437,2.6820,2.6712,8864.56598186,23774.76596334852,35
1608948000,2020-12-26 02:00:00,EOS/USD,2.6446,2.6450,2.6348,2.6431,2.6438,11421.50044931,30188.16783757126,25
1608944400,2020-12-26 01:00:00,EOS/USD,2.6519,2.6558,2.6273,2.6414,2.6455,2267.53603535,5989.46968377349,35
1608940800,2020-12-26 00:00:00,EOS/USD,2.6636,2.6878,2.6445,2.6576,2.6674,4338.13580380,11529.029712178879,76
1608937200,2020-12-25 23:00:00,EOS/USD,2.6213,2.6714,2.6213,2.6614,2.6376,9673.46099136,25744.949082405503,131
1608933600,2020-12-25 22:00:00,EOS/USD,2.6030,2.6318,2.6030,2.6277,2.6203,3123.27222025,8207.022413150924,32
1608930000,2020-12-25 21:00:00,EOS/USD,2.6077,2.6148,2.5951,2.6112,2.6109,6502.79824989,16980.106790112768,49
1608926400,2020-12-25 20:00:00,EOS/USD,2.6197,2.6253,2.6048,2.6090,2.6074,9272.11066991,24190.93673779519,73
1608922800,2020-12-25 19:00:00,EOS/USD,2.5982,2.6330,2.5955,2.6277,2.6131,5154.45077196,13544.35029347929,81
1608919200,2020-12-25 18:00:00,EOS/USD,2.5851,2.6084,2.5846,2.6084,2.6024,4575.57611923,11934.932749399532,80
1608915600,2020-12-25 17:00:00,EOS/USD,2.5790,2.6048,2.5480,2.6048,2.5748,11551.05433778,30088.186339049345,191
1608912000,2020-12-25 16:00:00,EOS/USD,2.6460,2.6845,2.5668,2.5873,2.6072,24579.84523241,63595.43356981439,215
1608908400,2020-12-25 15:00:00,EOS/USD,2.6547,2.6729,2.6421,2.6460,2.6586,15013.87348689,39726.70924631094,95
1608904800,2020-12-25 14:00:00,EOS/USD,2.7130,2.7332,2.6214,2.6547,2.6957,63012.08958449,167278.1942199456,241
1608901200,2020-12-25 13:00:00,EOS/USD,2.6899,2.7136,2.6899,2.7125,2.7110,5955.66684094,16154.746306049748,49
1608897600,2020-12-25 12:00:00,EOS/USD,2.7270,2.7314,2.6830,2.6830,2.7094,15103.29122966,40522.13036917778,82
1608894000,2020-12-25 11:00:00,EOS/USD,2.6672,2.7354,2.6672,2.7269,2.7041,33279.90089705,90750.96175616565,134
1608890400,2020-12-25 10:00:00,EOS/USD,2.6775,2.6800,2.6467,2.6800,2.6565,5345.50056674,14325.941518863201,39
1608886800,2020-12-25 09:00:00,EOS/USD,2.6300,2.6729,2.6262,2.6729,2.6564,35575.16859083,95088.8681264295,62
1608883200,2020-12-25 08:00:00,EOS/USD,2.6282,2.6450,2.6157,2.6186,2.6388,9052.61233732,23705.170666506154,40
1608879600,2020-12-25 07:00:00,EOS/USD,2.6025,2.6282,2.6003,2.6282,2.6059,2408.62793358,6330.355935034956,48
1608876000,2020-12-25 06:00:00,EOS/USD,2.5907,2.6536,2.5907,2.6230,2.6163,6046.47112148,15859.893751642041,101
1608872400,2020-12-25 05:00:00,EOS/USD,2.6079,2.6111,2.5862,2.6111,2.5916,4201.00900851,10969.254622120461,53
1608868800,2020-12-25 04:00:00,EOS/USD,2.5991,2.6181,2.5938,2.6146,2.6046,861.62643215,2252.80846949939,39
1608865200,2020-12-25 03:00:00,EOS/USD,2.6331,2.6334,2.5902,2.6053,2.6136,9963.90253809,25958.95528248588,92
1608861600,2020-12-25 02:00:00,EOS/USD,2.6419,2.6498,2.6171,2.6333,2.6332,39255.67530492,103371.96978044584,156
1608858000,2020-12-25 01:00:00,EOS/USD,2.6307,2.6719,2.6229,2.6400,2.6523,3373.51872517,8906.0894344488,76
1608854400,2020-12-25 00:00:00,EOS/USD,2.6737,2.6847,2.6020,2.6498,2.6285,25195.88544426,66764.05725020015,209
1608850800,2020-12-24 23:00:00,EOS/USD,2.6214,2.6872,2.5898,2.6660,2.6336,25813.73306971,68819.41236384686,230
1608847200,2020-12-24 22:00:00,EOS/USD,2.5277,2.6241,2.5264,2.6241,2.5599,5934.55697119,15572.870948099679,53
1608843600,2020-12-24 21:00:00,EOS/USD,2.5092,2.5338,2.5092,2.5202,2.5200,13344.92014842,33631.86775804809,50
1608840000,2020-12-24 20:00:00,EOS/USD,2.5190,2.5283,2.4645,2.5127,2.4934,11055.53866531,27779.252004324437,60
1608836400,2020-12-24 19:00:00,EOS/USD,2.5464,2.5622,2.5047,2.5096,2.5201,9671.90474353,24272.612144362887,112
1608832800,2020-12-24 18:00:00,EOS/USD,2.5873,2.5903,2.5211,2.5436,2.5469,13826.05715485,35167.95897907646,124
1608829200,2020-12-24 17:00:00,EOS/USD,2.5792,2.5929,2.5536,2.5845,2.5732,14015.36300202,36222.70567872069,74
1608825600,2020-12-24 16:00:00,EOS/USD,2.5470,2.6553,2.5342,2.5819,2.6023,24179.01656823,62427.80287751304,176
1608822000,2020-12-24 15:00:00,EOS/USD,2.5280,2.5438,2.5244,2.5429,2.5376,5237.76483004,13319.112186308716,35
1608818400,2020-12-24 14:00:00,EOS/USD,2.5771,2.5829,2.5118,2.5118,2.5603,7036.88073454,17675.23702901757,48
1608814800,2020-12-24 13:00:00,EOS/USD,2.4581,2.5945,2.4581,2.5756,2.5428,16086.67527620,41432.84084138072,107
1608811200,2020-12-24 12:00:00,EOS/USD,2.4784,2.5099,2.4391,2.4577,2.4699,10707.04758927,26314.71086014888,113
1608807600,2020-12-24 11:00:00,EOS/USD,2.3883,2.5107,2.3716,2.4730,2.4638,21538.98810855,53265.917592444144,279
1608804000,2020-12-24 10:00:00,EOS/USD,2.4287,2.4303,2.3862,2.3916,2.4069,18187.05328034,43496.15662526114,74
