unix,date,symbol,open,high,low,close,vwap,Volume DOT,Volume USD,tradecount
1607817600,2020-12-13 00:00:00,DOT/USD,4.7570,5.9500,4.7350,4.8836,4.9923,462568.89091978,2259001.4356958377,2143
1607731200,2020-12-12 00:00:00,DOT/USD,4.6233,4.7943,4.6233,4.7342,4.7296,170600.61466226,807657.4299340714,877
1607644800,2020-12-11 00:00:00,DOT/USD,4.7900,4.7900,4.5454,4.6190,4.6426,203005.53324068,937682.5580387008,1297
1607558400,2020-12-10 00:00:00,DOT/USD,4.8835,4.9099,4.7500,4.8017,4.8360,279004.49331638,1339695.875557262,1004
1607472000,2020-12-09 00:00:00,DOT/USD,4.7389,4.9375,4.6196,4.8768,4.7858,474825.74364452,2315630.186605595,1723
1607385600,2020-12-08 00:00:00,DOT/USD,5.0569,5.0678,4.7000,4.7329,4.8175,538479.86934141,2548571.373605959,2196
1607299200,2020-12-07 00:00:00,DOT/USD,5.1366,5.1500,5.0148,5.0578,5.0729,73625.36524014,372382.3723115801,611
1607212800,2020-12-06 00:00:00,DOT/USD,5.1900,5.2000,5.0100,5.1325,5.0965,114988.45853746,590178.2634435134,734
1607126400,2020-12-05 00:00:00,DOT/USD,5.0059,5.1900,4.8873,5.1871,5.0620,207796.43450153,1077860.8854028862,1224
1607040000,2020-12-04 00:00:00,DOT/USD,5.4034,5.4312,4.9671,5.0210,5.2122,406882.88938954,2042958.9876248804,2189
1606953600,2020-12-03 00:00:00,DOT/USD,5.4917,5.5721,5.3338,5.4045,5.4598,271824.39609508,1469074.9486958599,1529
1606867200,2020-12-02 00:00:00,DOT/USD,5.0849,5.5493,5.0084,5.4634,5.3468,357632.42671170,1953889.0000967018,2209
1606780800,2020-12-01 00:00:00,DOT/USD,5.3664,5.5363,4.9912,5.0896,5.2363,648891.57006362,3302598.5349958003,3456
1606694400,2020-11-30 00:00:00,DOT/USD,5.2174,5.4521,5.1402,5.3778,5.3076,444027.04491557,2387888.6421469525,3134
1606608000,2020-11-29 00:00:00,DOT/USD,4.9026,5.2047,4.8130,5.1923,5.0043,515853.27333454,2678464.951134932,2082
1606521600,2020-11-28 00:00:00,DOT/USD,4.8093,4.9551,4.6770,4.9032,4.8514,334792.70928455,1641555.6121640054,1656
1606435200,2020-11-27 00:00:00,DOT/USD,4.8072,5.0696,4.5110,4.8136,4.8041,300981.02071672,1448802.2413220035,1988
1606348800,2020-11-26 00:00:00,DOT/USD,5.2975,5.3835,4.4458,4.8048,4.8228,1368709.23816927,6576374.147555709,8428
1606262400,2020-11-25 00:00:00,DOT/USD,5.7612,5.8434,5.1200,5.3100,5.5336,930414.75119720,4940502.328857132,4250
1606176000,2020-11-24 00:00:00,DOT/USD,5.9080,6.0860,5.6075,5.7390,5.8881,1361244.67216918,7812183.173578924,7453
1606089600,2020-11-23 00:00:00,DOT/USD,5.5482,5.9500,5.4283,5.9169,5.7510,955556.82514202,5653934.178682818,5998
1606003200,2020-11-22 00:00:00,DOT/USD,5.7926,5.8434,5.1859,5.5199,5.5433,690958.35161599,3814021.005085103,4348
1605916800,2020-11-21 00:00:00,DOT/USD,5.2350,5.8800,5.1400,5.7857,5.4971,738415.81515665,4272252.381751831,4691
1605830400,2020-11-20 00:00:00,DOT/USD,4.7660,5.4761,4.7518,5.2387,5.2572,1355465.87050262,7100879.055802075,6516
1605744000,2020-11-19 00:00:00,DOT/USD,4.7000,4.8500,4.5489,4.7580,4.7178,362462.28503255,1724595.5521848728,2031
1605657600,2020-11-18 00:00:00,DOT/USD,4.8646,4.9473,4.5220,4.6896,4.7201,487745.38649788,2287330.7645204584,2870
1605571200,2020-11-17 00:00:00,DOT/USD,4.5009,4.9350,4.4948,4.8547,4.8117,1023718.03396169,4969843.939473817,5648
1605484800,2020-11-16 00:00:00,DOT/USD,4.3628,4.5900,4.3470,4.4882,4.4946,388155.88471109,1742121.2417603142,1933
1605398400,2020-11-15 00:00:00,DOT/USD,4.4660,4.4999,4.3101,4.3722,4.4160,157585.73475279,688996.3494861486,977
1605312000,2020-11-14 00:00:00,DOT/USD,4.5471,4.5471,4.3650,4.4713,4.4633,145443.68375846,650322.3431892022,1034
1605225600,2020-11-13 00:00:00,DOT/USD,4.4098,4.5923,4.3840,4.5460,4.4831,296235.26129948,1346685.4978674361,1568
1605139200,2020-11-12 00:00:00,DOT/USD,4.4450,4.4720,4.3254,4.4097,4.3850,379584.73601416,1673854.8104016413,1505
1605052800,2020-11-11 00:00:00,DOT/USD,4.4564,4.6278,4.4233,4.4549,4.5031,502315.83997062,2237766.835485115,2273
1604966400,2020-11-10 00:00:00,DOT/USD,4.3524,4.5018,4.3066,4.4191,4.4006,273704.74727611,1209528.6486878577,1541
1604880000,2020-11-09 00:00:00,DOT/USD,4.3706,4.4666,4.2500,4.3493,4.3457,255240.38181927,1110116.992646551,2014
1604793600,2020-11-08 00:00:00,DOT/USD,4.2358,4.4323,4.1393,4.3746,4.3199,403795.78897950,1766445.0584697207,2474
1604707200,2020-11-07 00:00:00,DOT/USD,4.5963,4.8616,4.0861,4.2399,4.4001,795988.84574118,3374913.1070580287,5771
1604620800,2020-11-06 00:00:00,DOT/USD,4.2350,4.6451,4.2078,4.5866,4.4664,461072.67446313,2114755.928692592,2659
1604534400,2020-11-05 00:00:00,DOT/USD,4.1000,4.3040,4.0176,4.2320,4.2162,457985.25734777,1938193.6090957627,2133
1604448000,2020-11-04 00:00:00,DOT/USD,4.0368,4.1543,3.8999,4.1040,4.0052,419375.40031017,1721116.6428729377,1921
1604361600,2020-11-03 00:00:00,DOT/USD,4.0389,4.0656,3.8936,4.0293,3.9544,441384.06838277,1778468.8267346951,1739
1604275200,2020-11-02 00:00:00,DOT/USD,4.2385,4.2648,3.9700,4.0414,4.1068,383060.37269281,1548100.1902007225,1897
1604188800,2020-11-01 00:00:00,DOT/USD,4.1800,4.2225,4.1112,4.2225,4.1676,110749.65677924,467640.4257503409,660
1604102400,2020-10-31 00:00:00,DOT/USD,4.0825,4.2734,4.0679,4.1834,4.1907,176886.69602681,739987.804158557,1056
1604016000,2020-10-30 00:00:00,DOT/USD,4.0643,4.1598,3.9150,4.0864,4.0532,401780.56997014,1641836.1211259803,2222
1603929600,2020-10-29 00:00:00,DOT/USD,4.3492,4.3983,3.9100,4.0567,4.0988,495272.33566718,2009171.2841010492,2819
1603843200,2020-10-28 00:00:00,DOT/USD,4.6771,4.7756,4.2542,4.3700,4.4496,371736.59910611,1624488.9380937007,2537
1603756800,2020-10-27 00:00:00,DOT/USD,4.7202,4.9391,4.6542,4.6736,4.7829,610002.81727113,2850909.1667983537,3496
1603670400,2020-10-26 00:00:00,DOT/USD,4.3241,4.7484,4.2910,4.7076,4.5566,678646.93577877,3194798.3148721377,4314
1603584000,2020-10-25 00:00:00,DOT/USD,4.3501,4.4450,4.2606,4.3335,4.3517,236883.57630674,1026534.9779252578,1706
1603497600,2020-10-24 00:00:00,DOT/USD,4.2554,4.4299,4.2384,4.3610,4.3529,243229.72137715,1060724.8149257512,1622
1603411200,2020-10-23 00:00:00,DOT/USD,4.2700,4.4767,4.1900,4.2674,4.3159,327830.02840990,1398981.8632364075,2521
1603324800,2020-10-22 00:00:00,DOT/USD,4.2952,4.3330,4.2599,4.2700,4.3022,98698.74273952,421443.6314977504,483
1603238400,2020-10-21 00:00:00,DOT/USD,3.9021,4.2500,3.9021,4.1435,4.0975,503033.48441109,2084319.2426573515,2704
