unix,date,symbol,open,high,low,close,vwap,Volume ADA,Volume USD,tradecount
1602547200,2020-10-13 00:00:00,ADA/USD,0.109574,0.114066,0.107712,0.109427,0.110511,11514840.66743169,1260034.4697150474,1666
1602460800,2020-10-12 00:00:00,ADA/USD,0.106465,0.113987,0.102200,0.109512,0.108002,29100563.23039606,3186860.8804871333,2669
1602374400,2020-10-11 00:00:00,ADA/USD,0.105074,0.109033,0.104238,0.106610,0.106704,4673377.27100910,498228.7508622801,853
1602288000,2020-10-10 00:00:00,ADA/USD,0.101678,0.111425,0.101678,0.104967,0.107395,12528288.58965025,1315056.8683898177,1963
1602201600,2020-10-09 00:00:00,ADA/USD,0.096381,0.102593,0.095096,0.101469,0.098657,9318013.06074041,945489.4672602686,1481
1602115200,2020-10-08 00:00:00,ADA/USD,0.093253,0.097000,0.089782,0.096330,0.094254,5328288.80047161,513274.06014943024,928
1602028800,2020-10-07 00:00:00,ADA/USD,0.092482,0.094391,0.089329,0.093708,0.092320,4160837.79050678,389903.7876728093,842
1601942400,2020-10-06 00:00:00,ADA/USD,0.097617,0.098637,0.091360,0.092979,0.093933,9153594.82192603,851092.0929478604,1370
1601856000,2020-10-05 00:00:00,ADA/USD,0.096883,0.099591,0.096058,0.097573,0.097495,6543560.92585547,638474.8702184957,913
1601769600,2020-10-04 00:00:00,ADA/USD,0.093429,0.098113,0.092292,0.096881,0.095450,4592995.00958631,444973.94952373125,771
1601683200,2020-10-03 00:00:00,ADA/USD,0.092936,0.095739,0.092277,0.093332,0.094481,8578292.11864402,800629.1600172836,779
1601596800,2020-10-02 00:00:00,ADA/USD,0.097985,0.100322,0.089734,0.092936,0.094015,17632632.40738542,1638706.3254127714,2254
1601510400,2020-10-01 00:00:00,ADA/USD,0.101470,0.104451,0.094652,0.098138,0.099744,12120774.81824482,1189508.5991129102,1725
1601424000,2020-09-30 00:00:00,ADA/USD,0.101200,0.101650,0.096681,0.101360,0.099036,7101480.45064095,719806.0584769668,1186
1601337600,2020-09-29 00:00:00,ADA/USD,0.097014,0.097014,0.097014,0.097014,0.000000,0.00000000,0.0,0
1601251200,2020-09-28 00:00:00,ADA/USD,0.097014,0.097014,0.097014,0.097014,0.000000,0.00000000,0.0,0
1601164800,2020-09-27 00:00:00,ADA/USD,0.097014,0.097014,0.097014,0.097014,0.000000,0.00000000,0.0,0
1601078400,2020-09-26 00:00:00,ADA/USD,0.097014,0.097014,0.097014,0.097014,0.000000,0.00000000,0.0,0
1600992000,2020-09-25 00:00:00,ADA/USD,0.082757,0.098500,0.082500,0.097014,0.093244,15086924.59648098,1463642.9028030059,2644
1600905600,2020-09-24 00:00:00,ADA/USD,0.076496,0.083778,0.075808,0.082657,0.080000,5901528.20052982,487802.6164711933,955
