unix,date,symbol,open,high,low,close,vwap,Volume BCH,Volume USD,tradecount
1606003200,2020-11-22 00:00:00,BCH/USD,305.14,313.00,274.12,288.73,290.99,18205.82036914,5256566.515181793,5949
1605916800,2020-11-21 00:00:00,BCH/USD,260.09,309.00,256.92,305.13,283.73,17448.34527304,5324013.593162695,5447
1605830400,2020-11-20 00:00:00,BCH/USD,246.50,260.96,246.22,260.00,256.47,6599.85043578,1715961.1133028,2898
1605744000,2020-11-19 00:00:00,BCH/USD,247.26,250.39,243.02,246.59,247.89,4086.42272695,1007670.9802386005,1631
1605657600,2020-11-18 00:00:00,BCH/USD,255.70,259.00,244.53,247.20,249.89,7918.78562715,1957523.8070314801,3033
1605571200,2020-11-17 00:00:00,BCH/USD,252.30,259.00,250.00,255.70,254.93,4971.19954634,1271135.723999138,1990
1605484800,2020-11-16 00:00:00,BCH/USD,250.18,260.50,246.66,252.80,252.87,4268.31411560,1079029.80842368,3486
1605398400,2020-11-15 00:00:00,BCH/USD,255.69,270.00,243.01,250.49,252.01,5985.56116774,1499323.2169071927,3305
1605312000,2020-11-14 00:00:00,BCH/USD,260.38,262.30,253.75,255.69,257.27,3805.18429355,972947.5720177995,2917
1605225600,2020-11-13 00:00:00,BCH/USD,260.12,275.00,248.94,260.38,258.52,15453.52638804,4023789.200917855,5549
1605139200,2020-11-12 00:00:00,BCH/USD,257.19,265.00,252.10,260.13,258.04,10742.98326790,2794572.2374788267,3529
1605052800,2020-11-11 00:00:00,BCH/USD,257.64,262.71,256.00,256.90,259.05,9678.33491229,2486364.238967301,3100
1604966400,2020-11-10 00:00:00,BCH/USD,264.31,266.37,255.10,257.64,260.34,8644.17271575,2227084.6584858303,3098
1604880000,2020-11-09 00:00:00,BCH/USD,270.73,274.30,257.73,264.21,266.53,9771.68389905,2581776.6029680003,3370
1604793600,2020-11-08 00:00:00,BCH/USD,253.50,279.79,251.40,270.52,266.04,9119.58631769,2467030.4906614986,3377
1604707200,2020-11-07 00:00:00,BCH/USD,258.24,277.04,245.10,253.81,261.07,12770.59591515,3241304.9492242215,4841
1604620800,2020-11-06 00:00:00,BCH/USD,249.83,259.73,248.52,258.02,254.78,7614.04862117,1964576.8252342832,3477
1604534400,2020-11-05 00:00:00,BCH/USD,241.50,252.48,240.98,249.89,246.74,11791.52229979,2946583.5074945227,4184
1604448000,2020-11-04 00:00:00,BCH/USD,244.22,244.57,231.07,241.28,237.94,10868.56436566,2622367.210146445,3215
1604361600,2020-11-03 00:00:00,BCH/USD,257.72,259.05,232.53,244.21,243.29,18135.47973164,4428865.505263804,5363
1604275200,2020-11-02 00:00:00,BCH/USD,268.03,271.60,254.30,257.72,261.39,5695.44225701,1467829.3784766172,2325
1604188800,2020-11-01 00:00:00,BCH/USD,262.28,270.90,260.68,267.97,267.18,4440.62824723,1189955.1514102232,1595
1604102400,2020-10-31 00:00:00,BCH/USD,262.25,266.44,260.01,262.29,263.17,4083.83922838,1071150.1912117903,2059
1604016000,2020-10-30 00:00:00,BCH/USD,267.76,270.80,255.30,262.33,262.77,7893.04176829,2070581.6470755155,3664
