unix,date,symbol,open,high,low,close,vwap,Volume ADA,Volume USD,tradecount
1609347600,2020-12-30 17:00:00,ADA/USD,0.181330,0.182623,0.180500,0.180800,0.181977,1876476.77932878,339267.0017026434,210
1609344000,2020-12-30 16:00:00,ADA/USD,0.181224,0.182052,0.179788,0.181320,0.180911,2009233.82812240,364314.2777151536,248
1609340400,2020-12-30 15:00:00,ADA/USD,0.181424,0.182833,0.181186,0.181979,0.181881,859811.88087827,156467.7062703467,133
1609336800,2020-12-30 14:00:00,ADA/USD,0.179548,0.183427,0.179548,0.181600,0.181545,675791.25942187,122723.6927110116,224
1609333200,2020-12-30 13:00:00,ADA/USD,0.180468,0.181593,0.179001,0.179257,0.180410,786609.36600158,141005.23512134523,119
1609329600,2020-12-30 12:00:00,ADA/USD,0.179362,0.181101,0.177814,0.180500,0.179366,1185852.06017372,214046.29686135644,200
1609326000,2020-12-30 11:00:00,ADA/USD,0.180000,0.182784,0.177875,0.179709,0.179468,1973298.41620271,354619.4850773728,214
1609322400,2020-12-30 10:00:00,ADA/USD,0.178015,0.181724,0.178015,0.180606,0.179151,1444492.41759665,260883.99757246056,156
1609318800,2020-12-30 09:00:00,ADA/USD,0.177320,0.179426,0.175347,0.177259,0.177491,1014780.81656070,179879.0327627331,177
1609315200,2020-12-30 08:00:00,ADA/USD,0.181556,0.182000,0.176150,0.177498,0.178460,2783671.69837682,494096.1591184888,374
1609311600,2020-12-30 07:00:00,ADA/USD,0.182148,0.182706,0.180732,0.180819,0.181261,716864.83340465,129622.78231139541,117
1609308000,2020-12-30 06:00:00,ADA/USD,0.180159,0.182910,0.180159,0.182090,0.181977,1175196.76043985,213991.57810849228,221
1609304400,2020-12-30 05:00:00,ADA/USD,0.181792,0.183106,0.179000,0.180584,0.180428,5244417.98421705,947057.9772618517,600
1609300800,2020-12-30 04:00:00,ADA/USD,0.183869,0.183869,0.180000,0.181669,0.181201,1849777.93904686,336047.308408704,314
1609297200,2020-12-30 03:00:00,ADA/USD,0.184549,0.187109,0.183182,0.184280,0.185166,2745558.44243450,505951.50977182965,356
1609293600,2020-12-30 02:00:00,ADA/USD,0.188919,0.189430,0.184500,0.184500,0.186381,2643478.83732653,487721.8454867448,554
1609290000,2020-12-30 01:00:00,ADA/USD,0.188795,0.192824,0.188092,0.188713,0.190584,1978201.07163006,373312.25883052347,504
1609286400,2020-12-30 00:00:00,ADA/USD,0.190900,0.193312,0.187164,0.188848,0.189748,3421316.94301802,646108.862055067,679
1609282800,2020-12-29 23:00:00,ADA/USD,0.187062,0.194409,0.185380,0.190482,0.190137,3355022.64985612,639071.4243898934,799
1609279200,2020-12-29 22:00:00,ADA/USD,0.185766,0.188353,0.184917,0.186887,0.187088,3658162.14337944,683662.9484897534,580
1609275600,2020-12-29 21:00:00,ADA/USD,0.183178,0.187276,0.183030,0.185896,0.185669,1414635.49197393,262975.07941598573,573
1609272000,2020-12-29 20:00:00,ADA/USD,0.187336,0.187336,0.180616,0.183389,0.183615,2659857.53571246,487788.61361677235,478
1609268400,2020-12-29 19:00:00,ADA/USD,0.185003,0.187885,0.184836,0.187559,0.186673,2137727.80528332,400950.0894311342,516
1609264800,2020-12-29 18:00:00,ADA/USD,0.182569,0.186239,0.181553,0.185261,0.183330,1751753.06446522,324531.52447589114,507
1609261200,2020-12-29 17:00:00,ADA/USD,0.183851,0.184525,0.180001,0.182637,0.182609,2248624.66115101,410682.062238637,512
1609257600,2020-12-29 16:00:00,ADA/USD,0.185792,0.185792,0.178035,0.184561,0.181474,7700292.56521846,1421173.696129284,862
1609254000,2020-12-29 15:00:00,ADA/USD,0.189017,0.191770,0.185000,0.185860,0.188576,6775515.18225268,1259297.2517734831,915
1609250400,2020-12-29 14:00:00,ADA/USD,0.193882,0.194702,0.187680,0.189267,0.191167,4131713.82705975,781997.0809061177,919
1609246800,2020-12-29 13:00:00,ADA/USD,0.195880,0.196849,0.191534,0.193882,0.193951,7445775.19840938,1443601.7870180074,1217
1609243200,2020-12-29 12:00:00,ADA/USD,0.186051,0.195970,0.185550,0.195636,0.190436,6269015.77286892,1226445.169740984,1210
1609239600,2020-12-29 11:00:00,ADA/USD,0.185500,0.188446,0.181766,0.185819,0.185716,3914478.33532225,727384.4497912453,623
1609236000,2020-12-29 10:00:00,ADA/USD,0.185682,0.188400,0.184058,0.185425,0.186748,1608701.16020924,298293.4126317983,493
1609232400,2020-12-29 09:00:00,ADA/USD,0.185375,0.187331,0.182152,0.185585,0.184847,3113425.55638672,577805.0818820294,605
1609228800,2020-12-29 08:00:00,ADA/USD,0.182477,0.187922,0.182454,0.185528,0.185681,6377027.82308071,1183117.217960518,686
1609225200,2020-12-29 07:00:00,ADA/USD,0.181501,0.184908,0.178212,0.182344,0.180972,3171935.45733760,578383.3990327674,620
1609221600,2020-12-29 06:00:00,ADA/USD,0.180550,0.183873,0.178845,0.182385,0.180676,3014000.41794332,549708.4662265923,516
1609218000,2020-12-29 05:00:00,ADA/USD,0.179003,0.180590,0.173145,0.180500,0.177082,2800753.18747287,505535.95033885306,625
1609214400,2020-12-29 04:00:00,ADA/USD,0.177000,0.181500,0.175000,0.179620,0.178249,4985225.82562120,895446.2627980799,998
1609210800,2020-12-29 03:00:00,ADA/USD,0.186930,0.186931,0.176500,0.177690,0.181326,4133769.17068837,734529.4439396163,730
1609207200,2020-12-29 02:00:00,ADA/USD,0.187261,0.187363,0.183029,0.187079,0.185342,3024748.93996947,565867.0069405484,641
1609203600,2020-12-29 01:00:00,ADA/USD,0.185461,0.189908,0.183500,0.187042,0.186725,3085271.72481274,577075.3939524245,742
1609200000,2020-12-29 00:00:00,ADA/USD,0.176050,0.192090,0.176050,0.186100,0.187058,11521937.11053783,2144232.49627109,2201
1609196400,2020-12-28 23:00:00,ADA/USD,0.172667,0.179205,0.172470,0.176050,0.175830,5178115.64751517,911607.2597450458,714
1609192800,2020-12-28 22:00:00,ADA/USD,0.172873,0.180000,0.169300,0.173063,0.175152,7019906.87285877,1214886.1431375572,1361
1609189200,2020-12-28 21:00:00,ADA/USD,0.170191,0.175007,0.170191,0.172965,0.173053,3676313.75911086,635873.6093446099,679
1609185600,2020-12-28 20:00:00,ADA/USD,0.171730,0.173266,0.167810,0.170323,0.170480,2622257.94576334,446630.8400962494,592
1609182000,2020-12-28 19:00:00,ADA/USD,0.169724,0.173704,0.168924,0.172113,0.171944,2641270.12401747,454596.9248550188,540
1609178400,2020-12-28 18:00:00,ADA/USD,0.171474,0.172000,0.168322,0.169534,0.170482,2174323.61525951,368621.77978940576,452
1609174800,2020-12-28 17:00:00,ADA/USD,0.166894,0.172500,0.166894,0.171467,0.170336,5078435.03953918,870784.0209246646,989
1609171200,2020-12-28 16:00:00,ADA/USD,0.164350,0.168153,0.163511,0.167133,0.166546,1476294.90320679,246737.59605766044,391
1609167600,2020-12-28 15:00:00,ADA/USD,0.166918,0.166918,0.163000,0.164461,0.164270,2604360.95099612,428315.8063617729,346
1609164000,2020-12-28 14:00:00,ADA/USD,0.167175,0.167483,0.166230,0.166779,0.166936,1436727.49090423,239615.97420551657,354
1609160400,2020-12-28 13:00:00,ADA/USD,0.165353,0.167558,0.163224,0.167203,0.166094,4373764.33817714,731306.5186362322,418
1609156800,2020-12-28 12:00:00,ADA/USD,0.167858,0.168506,0.163040,0.165376,0.165305,2469548.64856246,408404.0773046654,510
1609153200,2020-12-28 11:00:00,ADA/USD,0.165161,0.168515,0.164412,0.167848,0.166820,857419.51507336,143916.15076603333,393
1609149600,2020-12-28 10:00:00,ADA/USD,0.165122,0.166506,0.163224,0.165157,0.165331,818454.49889681,135173.48967430045,260
1609146000,2020-12-28 09:00:00,ADA/USD,0.163771,0.166530,0.162863,0.165114,0.165464,957998.49980104,158178.96429614894,304
1609142400,2020-12-28 08:00:00,ADA/USD,0.163785,0.164334,0.161008,0.164228,0.162955,827186.19482863,135847.13440431625,335
1609138800,2020-12-28 07:00:00,ADA/USD,0.160763,0.165769,0.160678,0.163865,0.163680,1549164.45563122,253853.8335220099,367
1609135200,2020-12-28 06:00:00,ADA/USD,0.161114,0.161423,0.160070,0.160765,0.160676,307929.28580682,49504.25163273341,124
1609131600,2020-12-28 05:00:00,ADA/USD,0.161301,0.161649,0.159411,0.161045,0.160477,462130.69134657,74423.83718790836,193
1609128000,2020-12-28 04:00:00,ADA/USD,0.159474,0.161805,0.159093,0.161106,0.160242,353394.96721705,56934.049588470065,191
1609124400,2020-12-28 03:00:00,ADA/USD,0.158879,0.159923,0.158668,0.159834,0.159559,234081.61847344,37414.20140708381,139
