unix,date,symbol,open,high,low,close,vwap,Volume LTC,Volume USD,tradecount
1607299200,2020-12-07 00:00:00,LTC/USD,83.74,86.84,81.81,83.60,83.93,40241.56451991,3364194.793864476,5260
1607212800,2020-12-06 00:00:00,LTC/USD,83.13,85.19,80.44,83.68,83.08,32156.57118282,2690861.876578378,4647
1607126400,2020-12-05 00:00:00,LTC/USD,79.63,84.42,78.71,83.13,82.17,42064.87045581,3496852.6809914852,5390
1607040000,2020-12-04 00:00:00,LTC/USD,89.05,89.86,77.89,79.64,84.62,66565.98761386,5301315.25356781,8132
1606953600,2020-12-03 00:00:00,LTC/USD,88.90,91.48,85.62,89.06,88.56,56967.45534805,5073521.573297334,8431
1606867200,2020-12-02 00:00:00,LTC/USD,85.16,90.55,82.84,89.01,86.95,65881.54788761,5864116.577476166,9821
1606780800,2020-12-01 00:00:00,LTC/USD,87.83,92.95,79.01,85.16,87.24,217015.97346557,18481080.300327938,16101
1606694400,2020-11-30 00:00:00,LTC/USD,79.10,88.56,76.73,87.67,83.03,124261.00347140,10893962.174337639,11265
1606608000,2020-11-29 00:00:00,LTC/USD,72.78,81.04,71.65,78.98,75.90,69268.09114137,5470793.838345403,8037
1606521600,2020-11-28 00:00:00,LTC/USD,69.19,74.93,68.44,72.87,71.74,75305.27709007,5487495.541553401,7079
1606435200,2020-11-27 00:00:00,LTC/USD,71.02,73.51,65.28,69.18,68.64,109996.14977093,7609533.641152938,8611
1606348800,2020-11-26 00:00:00,LTC/USD,81.75,83.23,64.59,70.98,72.61,183589.64078612,13031192.702998798,16583
1606262400,2020-11-25 00:00:00,LTC/USD,89.41,90.67,78.28,81.91,85.87,85148.98787710,6974553.59701326,8885
1606176000,2020-11-24 00:00:00,LTC/USD,89.13,94.00,85.79,89.39,89.64,144911.88974673,12953673.824460195,14282
1606089600,2020-11-23 00:00:00,LTC/USD,82.99,90.82,81.00,89.15,87.22,116204.58295029,10359638.570018355,12422
1606003200,2020-11-22 00:00:00,LTC/USD,87.19,88.01,78.01,83.00,83.88,78282.76299911,6497469.328926129,9025
1605916800,2020-11-21 00:00:00,LTC/USD,82.64,88.41,80.35,87.26,84.31,99495.67566992,8681992.65895722,10777
1605830400,2020-11-20 00:00:00,LTC/USD,81.64,85.76,80.12,82.61,82.63,93874.84449247,7755000.903522947,10680
1605744000,2020-11-19 00:00:00,LTC/USD,73.55,83.51,71.53,81.76,79.29,117497.13442469,9606565.710562654,10872
1605657600,2020-11-18 00:00:00,LTC/USD,76.37,77.17,68.10,73.63,73.04,97618.02366874,7187615.082729326,9413
1605571200,2020-11-17 00:00:00,LTC/USD,73.80,77.03,71.40,76.35,74.16,111992.59892324,8550634.927789373,10244
1605484800,2020-11-16 00:00:00,LTC/USD,62.36,74.53,62.20,73.84,70.02,172049.80242561,12704157.411107043,11890
1605398400,2020-11-15 00:00:00,LTC/USD,63.89,64.45,61.01,62.39,62.70,27665.01177049,1726020.0843608712,3255
1605312000,2020-11-14 00:00:00,LTC/USD,66.01,66.31,61.75,63.96,63.61,55099.47887105,3524162.668592358,4577
1605225600,2020-11-13 00:00:00,LTC/USD,60.74,66.63,60.24,65.83,63.87,96069.27552008,6324240.407486866,6002
1605139200,2020-11-12 00:00:00,LTC/USD,59.23,60.80,57.72,60.77,58.98,54201.75648518,3293840.7416043887,3113
1605052800,2020-11-11 00:00:00,LTC/USD,58.08,60.59,57.93,59.29,59.68,46139.85883936,2735632.2305856543,2408
1604966400,2020-11-10 00:00:00,LTC/USD,59.25,59.62,57.14,58.01,58.30,30869.44844606,1790736.7043559405,2209
1604880000,2020-11-09 00:00:00,LTC/USD,60.97,61.82,57.52,59.22,59.78,41465.31799340,2455576.131569148,2528
1604793600,2020-11-08 00:00:00,LTC/USD,59.00,62.03,58.68,61.00,60.25,28250.90952512,1723305.48103232,2064
1604707200,2020-11-07 00:00:00,LTC/USD,63.33,64.84,57.00,59.02,61.21,84360.21001199,4978939.59490765,5067
1604620800,2020-11-06 00:00:00,LTC/USD,59.03,63.75,58.76,63.42,61.47,104680.28361440,6638823.586825249,5758
1604534400,2020-11-05 00:00:00,LTC/USD,54.75,59.79,54.75,59.02,57.65,69752.91865669,4116817.259117844,4198
1604448000,2020-11-04 00:00:00,LTC/USD,53.96,55.25,51.69,54.75,53.69,32201.50680376,1763032.49750586,2532
1604361600,2020-11-03 00:00:00,LTC/USD,53.88,54.37,51.07,53.95,52.95,33491.36922570,1806859.3697265151,2439
1604275200,2020-11-02 00:00:00,LTC/USD,55.76,56.86,53.13,53.88,54.75,31450.86535865,1694572.6255240622,2237
1604188800,2020-11-01 00:00:00,LTC/USD,55.76,56.24,54.17,55.60,55.24,14616.73046678,812690.213952968,1164
1604102400,2020-10-31 00:00:00,LTC/USD,54.03,56.43,53.67,55.82,55.28,23929.15238831,1335725.2863154644,1823
1604016000,2020-10-30 00:00:00,LTC/USD,54.89,55.80,52.33,54.08,53.75,28337.75543675,1532505.81401944,2172
1603929600,2020-10-29 00:00:00,LTC/USD,55.84,56.55,53.43,54.90,55.27,26513.36557932,1455583.770304668,2096
1603843200,2020-10-28 00:00:00,LTC/USD,57.81,60.51,54.75,55.88,57.75,66020.58495970,3689230.2875480363,3608
1603756800,2020-10-27 00:00:00,LTC/USD,57.04,59.12,56.66,57.95,57.78,30884.83249983,1789776.0433651486,1984
1603670400,2020-10-26 00:00:00,LTC/USD,58.89,59.38,55.04,56.90,57.07,43358.05865469,2467073.537451861,3036
1603584000,2020-10-25 00:00:00,LTC/USD,59.08,59.98,56.58,58.89,58.50,48263.86328933,2842258.909108644,2756
1603497600,2020-10-24 00:00:00,LTC/USD,55.44,59.60,54.96,59.28,57.81,33514.62155169,1986746.7655841832,2161
1603411200,2020-10-23 00:00:00,LTC/USD,54.40,56.99,53.16,55.43,55.18,42849.38162688,2375141.2235779585,2645
