unix,date,symbol,open,high,low,close,vwap,Volume DOT,Volume USD,tradecount
1609408800,2020-12-31 10:00:00,DOT/USD,8.3085,8.3085,8.1133,8.2064,8.1974,35616.35263856,292282.0362930788,333
1609405200,2020-12-31 09:00:00,DOT/USD,8.0500,8.3426,7.9462,8.3171,8.2194,85843.59711854,713969.781594609,636
1609401600,2020-12-31 08:00:00,DOT/USD,8.0455,8.1711,7.9789,8.0734,8.0502,57244.14569099,462154.8858216386,456
1609398000,2020-12-31 07:00:00,DOT/USD,8.0083,8.1220,7.9000,8.0440,8.0147,68797.70697315,553408.7548920186,502
1609394400,2020-12-31 06:00:00,DOT/USD,8.0893,8.2175,7.9694,8.0053,8.1064,129120.20545469,1033645.9807264298,867
1609390800,2020-12-31 05:00:00,DOT/USD,7.9279,8.1358,7.8380,8.0888,7.9567,165973.90891320,1342529.7544170923,1271
1609387200,2020-12-31 04:00:00,DOT/USD,7.4073,8.0335,7.4073,7.9359,7.7570,275758.46658734,2188391.6149904714,2982
1609383600,2020-12-31 03:00:00,DOT/USD,7.3424,7.5077,7.3139,7.3861,7.4125,48444.15969626,357813.407932546,318
1609380000,2020-12-31 02:00:00,DOT/USD,7.4242,7.4245,7.3178,7.3476,7.3832,17819.99259778,130934.17761144834,190
1609376400,2020-12-31 01:00:00,DOT/USD,7.2540,7.4300,7.1889,7.4278,7.3146,55263.40412130,410485.5131321922,483
1609372800,2020-12-31 00:00:00,DOT/USD,7.2318,7.5551,7.1520,7.2758,7.3731,109359.09652019,795674.9144615984,654
1609369200,2020-12-30 23:00:00,DOT/USD,7.1731,7.2796,7.1383,7.2320,7.1999,74625.77072413,539693.5738769082,363
1609365600,2020-12-30 22:00:00,DOT/USD,7.2764,7.2900,7.1763,7.1763,7.2183,70665.30260642,507115.41109445185,331
1609362000,2020-12-30 21:00:00,DOT/USD,7.3050,7.3748,7.2798,7.2798,7.3334,24444.62838516,177952.00571828775,222
1609358400,2020-12-30 20:00:00,DOT/USD,7.3500,7.3662,7.2311,7.3099,7.3140,52525.49744936,383956.13380507665,340
1609354800,2020-12-30 19:00:00,DOT/USD,7.3171,7.4412,7.2125,7.3500,7.3376,89231.10671072,655848.6343237921,450
1609351200,2020-12-30 18:00:00,DOT/USD,7.4327,7.4532,7.2302,7.2919,7.3228,63950.27365631,466319.00047444686,475
1609347600,2020-12-30 17:00:00,DOT/USD,7.5036,7.6194,7.3801,7.4472,7.5003,89460.55013855,666230.6089918095,626
1609344000,2020-12-30 16:00:00,DOT/USD,7.3996,7.5727,7.2258,7.5174,7.4220,108397.02230564,814863.7754804181,766
1609340400,2020-12-30 15:00:00,DOT/USD,7.3074,7.4300,7.2948,7.3550,7.3737,46483.53504564,341886.4002606822,344
1609336800,2020-12-30 14:00:00,DOT/USD,7.1571,7.3409,7.1571,7.3046,7.2413,31055.43164760,226847.50601305894,250
1609333200,2020-12-30 13:00:00,DOT/USD,7.2707,7.2707,7.1442,7.1524,7.2018,13818.97066430,98838.80577933932,171
1609329600,2020-12-30 12:00:00,DOT/USD,7.1824,7.3115,7.1087,7.2451,7.1902,68243.52545985,494431.16630915925,386
1609326000,2020-12-30 11:00:00,DOT/USD,7.2962,7.3301,7.1600,7.1880,7.2471,117524.41560948,844765.4994009422,443
1609322400,2020-12-30 10:00:00,DOT/USD,7.3300,7.4615,7.2764,7.3230,7.3529,67312.51772705,492929.5673151872,298
1609318800,2020-12-30 09:00:00,DOT/USD,7.2055,7.4600,7.0501,7.3057,7.2727,120172.06198224,877941.0332236508,747
1609315200,2020-12-30 08:00:00,DOT/USD,7.2475,7.3871,7.1581,7.2101,7.2598,75285.11038331,542813.1743747034,467
1609311600,2020-12-30 07:00:00,DOT/USD,7.2500,7.3171,7.1946,7.2546,7.2599,33942.22954516,246237.29845831773,248
1609308000,2020-12-30 06:00:00,DOT/USD,7.4460,7.4611,7.2126,7.2500,7.3070,59620.81994908,432250.94463083,353
1609304400,2020-12-30 05:00:00,DOT/USD,7.3171,7.4600,7.2774,7.4460,7.3725,41467.10688072,308764.0778338411,284
1609300800,2020-12-30 04:00:00,DOT/USD,7.5304,7.5304,7.2428,7.3171,7.3298,59349.28398716,434264.64586244844,476
1609297200,2020-12-30 03:00:00,DOT/USD,7.5159,7.5544,7.3500,7.5235,7.4520,71366.96888557,536929.3904105859,408
1609293600,2020-12-30 02:00:00,DOT/USD,7.6496,7.6528,7.4446,7.5255,7.5673,78574.50168595,591312.4124376167,564
1609290000,2020-12-30 01:00:00,DOT/USD,7.4656,7.6528,7.4053,7.6528,7.5011,83908.58340449,642135.607077881,450
1609286400,2020-12-30 00:00:00,DOT/USD,7.5462,7.5620,7.3522,7.4568,7.4564,74937.02220578,558790.3871840603,621
1609282800,2020-12-29 23:00:00,DOT/USD,7.4093,7.6308,7.3677,7.5545,7.5475,119332.98488782,901501.0343350362,751
1609279200,2020-12-29 22:00:00,DOT/USD,7.1842,7.6850,7.1603,7.3849,7.4029,212522.04248137,1569454.0315206693,1341
1609275600,2020-12-29 21:00:00,DOT/USD,7.1335,7.2834,7.1302,7.1892,7.1849,71470.85215116,513818.2502851194,551
1609272000,2020-12-29 20:00:00,DOT/USD,7.2406,7.2515,7.1174,7.1375,7.1879,118392.56226182,845026.9131437403,838
1609268400,2020-12-29 19:00:00,DOT/USD,7.0930,7.3354,7.0930,7.2204,7.2478,208900.18349808,1508342.8849295368,1551
1609264800,2020-12-29 18:00:00,DOT/USD,6.7271,7.2513,6.6452,7.0930,7.0126,183185.58045119,1299335.3221402906,1808
1609261200,2020-12-29 17:00:00,DOT/USD,6.6004,6.7200,6.4854,6.7200,6.5701,107056.16721186,719417.4436636992,681
1609257600,2020-12-29 16:00:00,DOT/USD,6.3937,6.7490,6.2850,6.5984,6.5093,132435.26574653,873860.8575019035,861
1609254000,2020-12-29 15:00:00,DOT/USD,6.3968,6.4863,6.3243,6.3968,6.4203,40670.62525762,260161.8556479436,411
1609250400,2020-12-29 14:00:00,DOT/USD,6.6053,6.6071,6.3500,6.3904,6.4700,66131.51435161,422606.82931252854,548
1609246800,2020-12-29 13:00:00,DOT/USD,6.6102,6.6758,6.5777,6.6039,6.6220,29423.74139634,194311.44580728974,297
1609243200,2020-12-29 12:00:00,DOT/USD,6.4821,6.7489,6.4821,6.6066,6.6683,143818.68725901,950152.5392453755,853
1609239600,2020-12-29 11:00:00,DOT/USD,6.4281,6.5599,6.3800,6.4604,6.4468,53041.05259128,342666.4161607053,383
1609236000,2020-12-29 10:00:00,DOT/USD,6.5483,6.5872,6.4265,6.4303,6.4874,58724.19935527,377614.2191141927,389
1609232400,2020-12-29 09:00:00,DOT/USD,6.3892,6.5412,6.3357,6.5412,6.4593,35945.06177287,235123.83806869725,311
1609228800,2020-12-29 08:00:00,DOT/USD,6.3978,6.4535,6.2912,6.3970,6.3687,30337.40869306,194068.40340950483,304
1609225200,2020-12-29 07:00:00,DOT/USD,6.4749,6.4862,6.2728,6.3846,6.3913,42467.39620703,271137.3378234037,402
1609221600,2020-12-29 06:00:00,DOT/USD,6.4090,6.6000,6.3700,6.4906,6.4926,40629.84324010,263712.06053419306,360
1609218000,2020-12-29 05:00:00,DOT/USD,6.3442,6.4548,6.1752,6.4338,6.2864,84075.11576602,540922.4798154194,706
1609214400,2020-12-29 04:00:00,DOT/USD,6.3720,6.4687,6.2000,6.3474,6.3265,95484.11229964,606075.854410735,699
1609210800,2020-12-29 03:00:00,DOT/USD,6.7613,6.7920,6.3759,6.3759,6.6233,213165.58084133,1359122.4268862358,1261
1609207200,2020-12-29 02:00:00,DOT/USD,6.4988,6.8182,6.4519,6.7739,6.6766,118714.25782568,804158.5110853738,855
1609203600,2020-12-29 01:00:00,DOT/USD,6.4185,6.6086,6.3000,6.5203,6.4696,82408.80244831,537330.1146037157,737
1609200000,2020-12-29 00:00:00,DOT/USD,6.6260,6.7000,6.4109,6.4535,6.5964,130727.33945662,843648.8851832972,1132
1609196400,2020-12-28 23:00:00,DOT/USD,6.1432,6.6788,6.1354,6.5808,6.3809,446977.17657091,2941467.403577844,3150
1609192800,2020-12-28 22:00:00,DOT/USD,6.1659,6.2897,6.0619,6.1319,6.1920,161208.42765734,988513.9575520433,955
1609189200,2020-12-28 21:00:00,DOT/USD,6.1878,6.3341,6.1284,6.1651,6.2714,175202.37135550,1080140.139643793,1192
1609185600,2020-12-28 20:00:00,DOT/USD,6.1680,6.2800,6.0716,6.1793,6.1575,134409.93836350,830559.3321295754,844
1609182000,2020-12-28 19:00:00,DOT/USD,6.1200,6.1967,6.1200,6.1755,6.1499,32550.34282051,201014.6420880595,224
1609178400,2020-12-28 18:00:00,DOT/USD,6.2598,6.2897,6.0600,6.1200,6.1619,80037.62063871,489830.23830890516,576
1609174800,2020-12-28 17:00:00,DOT/USD,6.1872,6.2743,6.1852,6.2515,6.2201,57218.17900485,357699.44604881975,399
1609171200,2020-12-28 16:00:00,DOT/USD,6.2898,6.3183,6.1700,6.1892,6.2253,87350.58671462,540630.251294126,659
1609167600,2020-12-28 15:00:00,DOT/USD,6.1847,6.4000,6.1200,6.2737,6.2260,298917.48330482,1875318.6150094494,1856
1609164000,2020-12-28 14:00:00,DOT/USD,5.8843,6.1847,5.8763,6.1783,6.0279,145929.31548974,901595.0898902606,991
1609160400,2020-12-28 13:00:00,DOT/USD,5.8049,5.9376,5.7547,5.8721,5.8675,69339.97992947,407171.2961438408,473
1609156800,2020-12-28 12:00:00,DOT/USD,5.8401,5.8750,5.7298,5.8030,5.7946,18187.43121985,105541.66336878955,205
1609153200,2020-12-28 11:00:00,DOT/USD,5.8287,5.8887,5.7100,5.8361,5.7744,52548.63174596,306679.06973259716,336
1609149600,2020-12-28 10:00:00,DOT/USD,5.7924,5.9276,5.7331,5.8209,5.8418,106738.38577087,621313.4697336572,693
1609146000,2020-12-28 09:00:00,DOT/USD,5.7534,5.8989,5.6888,5.8000,5.8161,108960.10328558,631968.599056364,837
1609142400,2020-12-28 08:00:00,DOT/USD,5.5980,5.7628,5.4646,5.7588,5.6056,28499.65891327,164123.83574973926,321
1609138800,2020-12-28 07:00:00,DOT/USD,5.5075,5.6000,5.5075,5.5931,5.5591,31049.96429894,173665.55532040133,261
1609135200,2020-12-28 06:00:00,DOT/USD,5.2828,5.5069,5.2828,5.5018,5.4163,136221.96975221,749466.0331827089,369
1609131600,2020-12-28 05:00:00,DOT/USD,5.2456,5.2822,5.2456,5.2784,5.2654,7758.93383742,40954.75636743773,49
1609128000,2020-12-28 04:00:00,DOT/USD,5.2420,5.2697,5.2420,5.2561,5.2612,2321.45665100,12201.8083033211,36
1609124400,2020-12-28 03:00:00,DOT/USD,5.2453,5.2453,5.1950,5.2322,5.2203,4621.79472812,24182.154376469465,49
1609120800,2020-12-28 02:00:00,DOT/USD,5.2586,5.2785,5.2203,5.2283,5.2417,2439.44836747,12754.1678996434,22
1609117200,2020-12-28 01:00:00,DOT/USD,5.2685,5.2792,5.2330,5.2330,5.2542,10299.80383420,53898.8734643686,32
1609113600,2020-12-28 00:00:00,DOT/USD,5.1480,5.2828,5.1124,5.2681,5.2361,29029.32342959,152929.37875942307,108
1609110000,2020-12-27 23:00:00,DOT/USD,5.1514,5.1894,5.1435,5.1435,5.1596,3170.52903398,16307.61608627613,32
1609106400,2020-12-27 22:00:00,DOT/USD,5.2046,5.2404,5.1084,5.1589,5.1799,14039.49545520,72428.35310383128,102
1609102800,2020-12-27 21:00:00,DOT/USD,5.1618,5.2039,5.1100,5.1935,5.1361,35299.27772130,183326.79884557155,207
1609099200,2020-12-27 20:00:00,DOT/USD,5.3094,5.3115,5.1355,5.1530,5.2023,45384.05756240,233864.04861904716,296
1609095600,2020-12-27 19:00:00,DOT/USD,5.2459,5.3197,5.2348,5.3072,5.2870,7937.31146762,42124.89942095287,109
1609092000,2020-12-27 18:00:00,DOT/USD,5.2472,5.2594,5.2064,5.2510,5.2287,10906.32807279,57269.12871022029,115
1609088400,2020-12-27 17:00:00,DOT/USD,5.2791,5.2831,5.2284,5.2495,5.2568,17179.29738272,90182.72161058865,249
1609084800,2020-12-27 16:00:00,DOT/USD,5.3283,5.3977,5.2384,5.2791,5.2834,175921.79128111,928708.7283521077,493
1609081200,2020-12-27 15:00:00,DOT/USD,5.3125,5.4100,5.2717,5.3273,5.3358,139632.10847229,743862.1314644306,561
1609077600,2020-12-27 14:00:00,DOT/USD,5.1099,5.3426,5.1069,5.2739,5.2765,78193.91801069,412386.904196578,369
1609074000,2020-12-27 13:00:00,DOT/USD,5.0551,5.1159,4.9900,5.1159,5.0485,10852.96247454,55522.670723499185,111
1609070400,2020-12-27 12:00:00,DOT/USD,5.0274,5.0546,4.9220,5.0546,4.9818,14938.95775370,75510.45586185202,155
1609066800,2020-12-27 11:00:00,DOT/USD,5.1300,5.1300,4.9507,5.0481,5.0535,96359.89277021,486434.3746932971,462
1609063200,2020-12-27 10:00:00,DOT/USD,5.1521,5.1608,5.1123,5.1328,5.1322,16781.21221402,86134.60605212186,109
1609059600,2020-12-27 09:00:00,DOT/USD,5.1519,5.2179,5.1502,5.1691,5.1892,41192.45914053,212927.94054331363,188
1609056000,2020-12-27 08:00:00,DOT/USD,5.2681,5.2724,5.1439,5.1519,5.2249,26106.67178026,134498.9623447215,197
1609052400,2020-12-27 07:00:00,DOT/USD,5.2951,5.3300,5.2700,5.2700,5.3089,50734.53634419,267371.00653388124,152
1609048800,2020-12-27 06:00:00,DOT/USD,5.2910,5.3238,5.2910,5.2951,5.3059,6547.04007741,34667.23191389369,46
1609045200,2020-12-27 05:00:00,DOT/USD,5.2991,5.3267,5.2801,5.2848,5.3027,8622.98062673,45570.7280161427,50
1609041600,2020-12-27 04:00:00,DOT/USD,5.3402,5.3426,5.2958,5.2958,5.3226,14847.23883296,78628.00741158957,60
1609038000,2020-12-27 03:00:00,DOT/USD,5.3230,5.3980,5.2780,5.3231,5.3381,41651.65758464,221715.9384887972,253
1609034400,2020-12-27 02:00:00,DOT/USD,5.2503,5.3559,5.2500,5.3110,5.3144,93148.54081791,494711.90028392005,230
1609030800,2020-12-27 01:00:00,DOT/USD,5.2178,5.3125,5.1933,5.2427,5.2859,113501.90481464,595056.4363717132,362
1609027200,2020-12-27 00:00:00,DOT/USD,5.1853,5.2345,5.1780,5.2237,5.2057,6886.34289389,35972.18937481319,63
1609023600,2020-12-26 23:00:00,DOT/USD,5.1961,5.1961,5.1725,5.1879,5.1824,3804.31447860,19736.403083528938,35
1609020000,2020-12-26 22:00:00,DOT/USD,5.1833,5.1943,5.1307,5.1943,5.1568,110410.65390203,573506.0595633144,222
1609016400,2020-12-26 21:00:00,DOT/USD,5.2201,5.2215,5.1764,5.1851,5.1994,14614.13750979,75775.76440201214,118
